"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: listSize","Param: maxItems","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,4735.999191,319.274421,"ops/s",INTERSECTION,0,,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1167454915.586838,21329972.290706,"ops/s",INTERSECTION,1024,,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1192661780.158122,30319967.496757,"ops/s",INTERSECTION,1024,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,3740146.201354,612539.144807,"ops/s",INTERSECTION,1024,,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,450111.350612,59105.117008,"ops/s",INTERSECTION,1024,,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1584327.494797,228056.848594,"ops/s",INTERSECTION,1024,,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1507181.945485,276234.267331,"ops/s",INTERSECTION,1024,,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,407982.829492,30306.237603,"ops/s",INTERSECTION,1024,,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,401051.069855,27629.233925,"ops/s",INTERSECTION,1024,,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,12866.065968,1334.998492,"ops/s",INTERSECTION,1024,,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,12421.578758,1262.046917,"ops/s",INTERSECTION,1024,,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,4958.786433,464.388266,"ops/s",INTERSECTION,1024,,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,5009.754477,420.074002,"ops/s",INTERSECTION,1024,,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1231783505.385518,84427495.053144,"ops/s",INTERSECTION,104857600,,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1217748892.346004,54402855.918114,"ops/s",INTERSECTION,104857600,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,3896520.280465,489727.245304,"ops/s",INTERSECTION,104857600,,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,839366.929137,70161.957007,"ops/s",INTERSECTION,104857600,,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1835424.102388,151417.983005,"ops/s",INTERSECTION,104857600,,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1791670.108967,158971.869461,"ops/s",INTERSECTION,104857600,,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,997658.915141,243726.726614,"ops/s",INTERSECTION,104857600,,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1063701.517662,58436.984412,"ops/s",INTERSECTION,104857600,,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,61200.753406,5627.292558,"ops/s",INTERSECTION,104857600,,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,59061.142445,2328.871892,"ops/s",INTERSECTION,104857600,,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,46834.730499,1145.624968,"ops/s",INTERSECTION,104857600,,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,46384.979810,2608.034943,"ops/s",INTERSECTION,104857600,,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1237790648.360629,122097376.508427,"ops/s",INTERSECTION,-1,,,,EXACT
