"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: fjEnabled","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1842.528131,59.456465,"us/op",UNION,1024,false,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,51.322154,1.255391,"us/op",UNION,104857600,true,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,51.843156,1.327847,"us/op",UNION,104857600,true,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,794.693910,18.949286,"us/op",UNION,104857600,true,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,794.509473,28.881969,"us/op",UNION,104857600,true,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1360.769241,24.886373,"us/op",UNION,104857600,true,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1384.011087,15.449814,"us/op",UNION,104857600,true,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,14.074284,0.211848,"us/op",UNION,104857600,false,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,14.494426,0.088207,"us/op",UNION,104857600,false,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,636.786056,11.920891,"us/op",UNION,104857600,false,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,638.019242,8.798015,"us/op",UNION,104857600,false,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1875.140058,48.521768,"us/op",UNION,104857600,false,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1863.830109,66.317252,"us/op",UNION,104857600,false,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,51.671286,1.890844,"us/op",UNION,-1,true,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,51.164525,0.851557,"us/op",UNION,-1,true,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,784.783357,33.231642,"us/op",UNION,-1,true,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,776.160694,37.151966,"us/op",UNION,-1,true,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1379.739868,25.216147,"us/op",UNION,-1,true,"a b c d e g h i l m n p r s u v y",EXACT
